,X,datum_id,time,DOD,RG_Proportion,Plant.ID,detector_read1,detector_read2,light_intensity,light_intensity_raw,temperature,humidity,pressure,temperature2,humidity2,pressure2,contactless_temp,thickness,compass_direction,compass,angle,angle_direction,pitch,roll,flatten.slope,ecs_initial,ecs_max,ecs_r_squared,ECSt,vH.,gH.,absorbance_530,absorbance_650,absorbance_605,absorbance_420,absorbance_940,absorbance_850,absorbance_730,absorbance_880,SPAD_530,SPAD_530_intensity,light2_raw1,light6_raw1,spad_raw1,light2_raw2,light6_raw2,spad_raw2,light2_raw3,light6_raw3,spad_raw3,SPAD_650,SPAD_650_intensity,SPAD_605,SPAD_605_intensity,SPAD_420,SPAD_420_intensity,SPAD_850,SPAD_850_intensity,SPAD_730,SPAD_730_intensity,SPAD_880,SPAD_880_intensity,baseline,Phi2,PhiNPQ,NPQt,PhiNO,qL,FvP.FmP,qP,LEF,FmPrime,Fs,FoPrime,RFd,ratio.MPF.noMPF..Phi2,ratio.MPF.noMPF..PhiNPQ,ratio.MPF.noMPF..PhiNO,MPF_slope,MPF_rsquared,Light.Intensity..PAR.,Leaf.Temp.Differential,Relative.Chlorophyll,Rel.Chl.intensity,Ambient.Temperature,Ambient.Humidity,Leaf.Angle,R,G,B,Phi2_MPF,PhiNPQ_MPF,NPQt_MPF,Phi2_noMPF,user_id,device_id,status,notes,latitude,longitude,Pot_Num.x,Spp,Trt.x,Block,Sensor,Trt3,TimePoint,Image,Pot_Num.y,Trt.y,Date,Tissue,Param,Blue,Green,Red,Total_Pix,ID_1,ID_2,ID_3,Red_Proportion,Green_Proportion,Blue_Proportion,Trt2
448,796,823582,5/9/18 15:21,8,0.648249791,98,12572,6242,202,369,20.040001,53.018555,782.204834,19.940001,53.540039,782.184082,17.13,0.73,E,90,2.91,S,2.69,1.11,0.0412,26659.19,26691.2,0.506553796,7.00E-04,0.0001428,4.92,0.989,1.542,1.094,NA,0.445,0.399,0.329,0.408,54.38,1,759,13015,109.72,4715.5,47410,106.62,10616.5,47428.5,90.94,46.1,1,64.86,1,178.92,1,-4.65,1,-11.59,1,-3.74,1,526.6490052,0.584,0.096,0.3,0.32,0.373,0.79,0.739,53.042,19717.072,8211.7,4147,1.401,1.0625,0.69899,0.68364,-6767406.491,-1,202,-2.910001,46.09841828,1,20.040001,53.018555,2.91,214,100,90,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31262336,-105.5849058,98,BRVT,Drought,7,N,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
456,799,823579,5/9/18 15:26,8,0.648249791,113,12410,4777,96,170,18.889999,52.486328,782.116699,18.780001,52.675781,782.129639,16.63,0.46,E,90,4.34,SW,3.93,-1.85,0.0371,25501.86,25517.06,0.505286347,0,0,0,1.098,NA,1.242,NA,0.415,0.372,0.329,0.38,68.28,1,459,13942,134.55,2751,50744.5,132.98,6181,50752,117.37,57.01,1,82.61,1,200.33,1,-4.33,1,-8.69,1,-3.53,1,517.4419118,0.672,0.073,0.285,0.255,0.54,0.792,0.849,29.038,22154.365,7262.6,4617,2.05,1.04283,0.68602,0.67081,-7503685.004,-0.987,96,-2.259999,57.00790861,1,18.889999,52.486328,4.34,98,46,42,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31263901,-105.5848979,113,BRVT,Drought,18,N,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
463,805,823573,5/9/18 15:34,8,0.789241236,121,12991,3163,145,263,17.6,56.807617,782.113586,17.469999,57.044922,782.117493,14.89,1.13,E,90,5.25,S,5.21,-0.65,-0.0132,23836.87,23918.42,-0.214519402,0.0014,4.52E-05,29.8727,1.267,NA,1.545,NA,0.485,0.447,0.435,0.451,78.16,1,285.5,11868,148.17,1599.5,43097,149.43,3570,43122,134.14,62.99,1,105.93,1,204.16,1,-3.85,1,-5.02,1,-3.44,1,550.4624135,0.591,0.018,0.045,0.392,0.309,0.824,0.717,38.541,19256.969,7882.5,3397,1.443,1.02855,0.47184,0.46779,-3033191.276,-0.889,145,-2.71,62.99209139,1,17.6,56.807617,5.25,152,72,64,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31264507,-105.5848987,121,BRR5,Drought,18,N,Drought,./TP2_05092018,124_121_136_R500_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',15366,35524,22018,72908,124,121,136,0.301997037,0.487244198,0.210758764,DD
467,806,823572,5/9/18 15:35,8,0.921991492,12,13073,5694,116,208,17.540001,57.192383,782.054443,17.440001,57.514648,782.064392,15.59,0.36,E,90,3.5,W,0.65,-3.44,0.0249,26570.65,26599.3,0.334166699,6.00E-04,5.42E-05,10.4899,1.032,1.496,1.16,NA,0.439,0.392,0.362,0.403,59.35,1,844,13211,105.76,5271,48033,102.35,11879,48047.5,86.62,44.36,1,72.16,1,152.19,1,-4.67,1,-7.71,1,-3.58,1,555.1227941,0.6,0.132,0.491,0.268,0.459,0.766,0.784,31.345,21271.633,8498.5,4977,1.503,1.04469,0.80951,0.79361,-5669709.978,-0.995,116,-1.950001,44.35852373,1,17.540001,57.192383,3.5,120,57,49,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31264343,-105.5849022,12,POTR,Drought,18,Y,Drought,./TP2_05092018,1_3_26_Aspen_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',3704,23832,19946,47482,1,3,26,0.420074976,0.501916516,0.078008508,DD
471,807,823571,5/9/18 15:37,8,0.648249791,108,12870,5978,120,218,17.290001,59.039062,782.041077,17.17,59.964844,782.064697,15.8,0.48,E,90,5.11,SW,4.57,-2.29,0.0349,26352.33,26379.37,0.416564885,5.00E-04,2.86E-05,16.566,1.005,1.608,1.162,NA,0.431,0.387,0.346,0.397,57.4,1,653,13463.5,117.72,4019,48947,114.95,9047.5,48969.5,99.27,49.61,1,73.13,1,193.24,1,-4.39,1,-8.49,1,-3.33,1,543.5855104,0.673,0.058,0.215,0.269,0.512,0.801,0.84,36.331,19799.302,6478.4,3946,2.056,1.06774,0.52933,0.51215,-10258660.72,-1,120,-1.490001,49.61335677,1,17.290001,59.039062,5.11,126,60,53,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31264326,-105.5849022,108,BRVT,Drought,17,N,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
475,808,823570,5/9/18 15:38,8,0.648249791,97,12828,4851,139,251,17.01,57.276367,782.035522,16.9,57.290039,782.065002,14.51,0.64,E,90,5.08,SW,2.68,-4.32,0.0233,25568.3,25611.5,0.336819973,7.00E-04,6.36E-05,11.576,1.092,1.699,1.256,NA,0.44,0.4,0.368,0.406,65.21,1,529.5,13186.5,125.92,3203.5,47984,123.93,7204,48010,108.31,53.22,1,81.59,1,190.63,1,-3.93,1,-7.16,1,-3.32,1,541.1984862,0.686,0.053,0.204,0.261,0.539,0.802,0.855,42.914,19852.447,6232.1,3930,2.185,1.05019,0.57421,0.5594,-8315137.185,-0.997,139,-2.5,53.21616872,1,17.01,57.276367,5.08,145,68,61,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.3126456,-105.584901,97,BRVT,Drought,18,N,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
479,809,823569,5/9/18 15:39,8,0.921991492,6,12957,7050,85,153,17,59.032227,782.028931,16.870001,59.400391,782.032959,15.47,0.26,E,90,1.36,W,0.18,-1.35,0.0245,27580.91,27605.78,0.267070591,3.00E-04,4.10E-05,8.3382,0.94,1.309,1.046,1.809,0.417,0.371,0.324,0.386,52.28,1,1298,13900.5,89.27,8224.5,50558,85.25,18546.5,50566.5,69.5,37.11,1,62.91,1,139.26,1,-4.57,1,-9.3,1,-3.11,1,548.5300606,0.622,0.115,0.438,0.263,0.485,0.772,0.805,23.789,17131.699,6476.8,3898,1.645,1.024,0.86757,0.85771,-2700179.71,-0.956,85,-1.53,37.11335677,1,17,59.032227,1.36,89,42,37,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31264704,-105.584901,6,POTR,Drought,18,N,Drought,./TP2_05092018,1_3_26_Aspen_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',3704,23832,19946,47482,1,3,26,0.420074976,0.501916516,0.078008508,DD
488,738,830212,5/12/18 9:56,11,0.943553436,117,9145,1316,161,269,24.76,50.313477,778.285767,24.719999,50.916016,779.394531,23.35,0.58,E,90,8.09,SE,3.96,7.06,-0.0101,19131.81,19193.38,-0.166955684,0.0016,2.03E-05,78.0261,NA,NA,NA,NA,0.504,0.441,0.428,0.451,120.24,1,77,9365.5,204.23,511,37203.5,194.94,1116,37219.5,179.46,78.51,1,142.52,1,NA,NA,-6.32,1,-7.58,1,-5.36,1,545.4469827,0.245,0.294,0.639,0.461,0.109,0.749,NA,17.737,20723.72,15650.2,5210,0.324,0.89874,1.10148,1.11376,3676128.668,0.708,161,-1.41,78.50728633,1,24.76,50.313477,8.09,158,72,64,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257984,-105.5850277,117,BRVT,Drought,6,N,Drought,./TP3_05122018,116_117_TurnipDD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',7032,61098,56448,124578,116,117,NA,0.453113712,0.490439725,0.056446564,DD
489,738,830212,5/12/18 9:56,11,0.915439032,117,9145,1316,161,269,24.76,50.313477,778.285767,24.719999,50.916016,779.394531,23.35,0.58,E,90,8.09,SE,3.96,7.06,-0.0101,19131.81,19193.38,-0.166955684,0.0016,2.03E-05,78.0261,NA,NA,NA,NA,0.504,0.441,0.428,0.451,120.24,1,77,9365.5,204.23,511,37203.5,194.94,1116,37219.5,179.46,78.51,1,142.52,1,NA,NA,-6.32,1,-7.58,1,-5.36,1,545.4469827,0.245,0.294,0.639,0.461,0.109,0.749,NA,17.737,20723.72,15650.2,5210,0.324,0.89874,1.10148,1.11376,3676128.668,0.708,161,-1.41,78.50728633,1,24.76,50.313477,8.09,158,72,64,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257984,-105.5850277,117,BRVT,Drought,6,N,Drought,./TP3_05122018,99_103_113_TurnipDD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',11308,65432,56986,133726,99,103,113,0.426140018,0.489299014,0.084560968,DD
492,739,830211,5/12/18 9:57,11,0.943553436,112,8021,9436,139,233,24.9,49.063477,778.311584,24.879999,49.667969,779.459778,22.81,0.42,E,90,1.13,NE,-0.67,0.91,0.0532,28160.25,28180.31,0.460408478,0,0,0,0.866,1.361,0.963,NA,0.378,0.307,0.255,0.346,48.77,1,1180.5,12521.5,98.29,7266,49996,92.49,16172.5,50000.5,76.17,36.78,1,58.48,1,165.48,1,-7.07,1,-12.27,1,-3.19,1,469.103958,0.686,0.043,0.157,0.272,0.517,0.808,0.848,42.891,19796.383,6221.9,3793,2.182,1.06107,0.47253,0.45846,-10143630.8,-0.994,139,-2.09,36.78219772,1,24.9,49.063477,1.13,137,63,55,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257438,-105.5850015,112,BRVT,Drought,14,N,Drought,./TP3_05122018,116_117_TurnipDD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',7032,61098,56448,124578,116,117,NA,0.453113712,0.490439725,0.056446564,DD
493,739,830211,5/12/18 9:57,11,0.915439032,112,8021,9436,139,233,24.9,49.063477,778.311584,24.879999,49.667969,779.459778,22.81,0.42,E,90,1.13,NE,-0.67,0.91,0.0532,28160.25,28180.31,0.460408478,0,0,0,0.866,1.361,0.963,NA,0.378,0.307,0.255,0.346,48.77,1,1180.5,12521.5,98.29,7266,49996,92.49,16172.5,50000.5,76.17,36.78,1,58.48,1,165.48,1,-7.07,1,-12.27,1,-3.19,1,469.103958,0.686,0.043,0.157,0.272,0.517,0.808,0.848,42.891,19796.383,6221.9,3793,2.182,1.06107,0.47253,0.45846,-10143630.8,-0.994,139,-2.09,36.78219772,1,24.9,49.063477,1.13,137,63,55,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257438,-105.5850015,112,BRVT,Drought,14,N,Drought,./TP3_05122018,99_103_113_TurnipDD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',11308,65432,56986,133726,99,103,113,0.426140018,0.489299014,0.084560968,DD
496,740,830210,5/12/18 9:59,11,0.943553436,103,8386,3714,165,277,24.82,48.454102,778.335144,24.799999,48.976562,779.451355,23.35,0.77,E,90,0.58,SW,0.41,-0.41,0.0084,24291.66,24383.71,0.138584293,0.0016,6.31E-05,24.9949,1.258,NA,1.444,NA,0.438,0.383,0.38,0.408,81.98,1,282,10906.5,154.47,1639,43440.5,151.06,3639,43440.5,134.85,58.91,1,100.61,1,245.19,1,-5.55,1,-5.82,1,-3.04,1,493.8950647,0.421,0.122,0.266,0.457,0.189,0.794,0.53,31.271,21322.515,12342.4,4394,0.728,1.04893,0.83728,0.8299,-2698899.988,-0.759,165,-1.47,58.9090193,1,24.82,48.454102,0.58,163,74,66,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.3124142,-105.585233,103,BRVT,Drought,14,N,Drought,./TP3_05122018,116_117_TurnipDD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',7032,61098,56448,124578,116,117,NA,0.453113712,0.490439725,0.056446564,DD
497,740,830210,5/12/18 9:59,11,0.915439032,103,8386,3714,165,277,24.82,48.454102,778.335144,24.799999,48.976562,779.451355,23.35,0.77,E,90,0.58,SW,0.41,-0.41,0.0084,24291.66,24383.71,0.138584293,0.0016,6.31E-05,24.9949,1.258,NA,1.444,NA,0.438,0.383,0.38,0.408,81.98,1,282,10906.5,154.47,1639,43440.5,151.06,3639,43440.5,134.85,58.91,1,100.61,1,245.19,1,-5.55,1,-5.82,1,-3.04,1,493.8950647,0.421,0.122,0.266,0.457,0.189,0.794,0.53,31.271,21322.515,12342.4,4394,0.728,1.04893,0.83728,0.8299,-2698899.988,-0.759,165,-1.47,58.9090193,1,24.82,48.454102,0.58,163,74,66,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.3124142,-105.585233,103,BRVT,Drought,14,N,Drought,./TP3_05122018,99_103_113_TurnipDD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',11308,65432,56986,133726,99,103,113,0.426140018,0.489299014,0.084560968,DD
516,745,830205,5/12/18 10:07,11,0.907277883,131,8828,1504,229,383,25.16,48.46875,778.209045,25.139999,49.208008,779.348511,23.25,0.42,E,90,2.19,W,0.66,-2.09,-0.009,22681.61,22704.2,-0.143940631,3.00E-04,1.61E-05,19.255,NA,NA,1.756,NA,0.503,0.414,0.572,0.475,115.68,1,321,9399.5,142.39,1862,37418,139.04,4127,37431,122.91,54.15,1,125.31,1,152.29,1,-8.88,1,6.94,1,-2.8,1,523.9160762,0.541,0.143,0.453,0.316,0.351,0.771,0.702,55.768,14963.132,6865.4,3433,1.179,1.08,0.7476,0.72815,-5209842.847,-0.981,229,-1.91,54.15124065,1,25.16,48.46875,2.19,223,103,91,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31265612,-105.5849275,131,BRR5,Drought,9,Y,Drought,./TP3_05122018,124_105_121_R500_DD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',7848,40176,36616,84640,124,105,121,0.432608696,0.474669187,0.092722117,DD
519,746,830204,5/12/18 10:19,11,0.907277883,136,8068,1096,176,292,25,46.52832,778.194702,24.99,47.208984,779.314819,25.52,1.32,E,90,3.05,SW,2.73,-1.37,0.0251,17357.08,17382.33,0.559364446,6.00E-04,3.12E-05,19.8973,NA,NA,NA,NA,0.517,0.456,0.534,0.489,127.22,1,45.5,9084,225.75,336,36092,211.83,721,36101.5,197.11,86.98,1,150.09,1,NA,NA,-6.15,1,1.68,1,-2.82,1,472.2962375,0.614,0.14,0.568,0.246,0.511,0.757,0.811,48.62,13298.523,5134.7,3234,1.59,1.04461,0.81573,0.79794,-3387958.108,-0.845,176,0.52,86.9830642,1,25,46.52832,3.05,169,79,70,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.3126472,-105.5849188,136,BRR5,Drought,1,N,Drought,./TP3_05122018,124_105_121_R500_DD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',7848,40176,36616,84640,124,105,121,0.432608696,0.474669187,0.092722117,DD
522,747,830203,5/12/18 10:20,11,0.935393645,8,8334,6313,185,308,25.15,48.674805,778.273926,25.15,49.664062,779.394836,23.59,0.46,E,90,5.17,NW,-4.72,-2.12,0.0193,26784.56,26816.95,0.256755747,5.00E-04,0.00010106,5.2917,1.036,1.527,1.144,NA,0.403,0.331,0.313,0.372,63.36,1,805,11825.5,112.43,4928,47196,106.85,10967.5,47201.5,90.54,42.35,1,74.11,1,163.75,1,-7.22,1,-9,1,-3.13,1,490.363181,0.641,0.104,0.408,0.255,0.515,0.776,0.826,53.342,20549.832,7382.6,4602,1.784,1.08765,0.62607,0.6001,-11821090.69,-0.996,185,-1.56,42.35131942,1,25.15,48.674805,5.17,179,83,74,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31264506,-105.5849157,8,POTR,Drought,12,N,Drought,./TP3_05122018,6_5_8_AspenDroughted_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',2818,21120,19680,43618,6,5,8,0.451189876,0.484203769,0.064606355,DD
525,748,830202,5/12/18 10:22,11,0.907277883,136,8355,1105,211,350,24.959999,47.244141,778.386108,24.959999,47.866211,779.534851,23.77,1.35,E,90,8.11,SW,6.47,-4.9,0.0275,17467.22,17491.55,0.506017837,7.00E-04,2.87E-05,26.0997,NA,NA,NA,NA,0.497,0.439,0.528,0.476,128.97,1,41.5,9532.5,231.84,331.5,37910.5,214.55,702,37921.5,200.41,89.38,1,151.11,1,NA,NA,-5.73,1,3.2,1,-2.01,1,491.7895187,0.609,0.14,0.556,0.251,0.496,0.758,0.803,57.811,13812.272,5402.5,3339,1.557,1.05052,0.79843,0.77937,-3864316.607,-0.851,211,-1.189999,89.38164632,1,24.959999,47.244141,8.11,203,94,83,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31263427,-105.5849189,136,BRR5,Drought,1,N,Drought,./TP3_05122018,124_105_121_R500_DD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',7848,40176,36616,84640,124,105,121,0.432608696,0.474669187,0.092722117,DD
528,749,830201,5/12/18 10:25,11,0.907277883,135,5539,53382,229,383,25.02,46.791016,778.412354,25.01,47.363281,779.54071,23.85,0.44,E,90,10.07,W,2.32,-9.8,0.0762,22055.82,22030.8,0.220649485,NA,NA,NA,0.138,0.144,0.122,0.158,0.103,0.101,0.066,0.123,3.49,1,19446.5,23579.5,4.1,65535,65535,8.73,60437.5,65535,30.67,-0.32,1,1.89,1,5.49,1,-0.22,1,-3.76,1,1.99,1,300.524432,0.444,0.29,1.087,0.266,0.341,0.7,NA,45.741,3226.142,1794.1,966,0.798,0.93762,1.11517,1.13944,959762.113,0.567,229,-1.17,-0.315084679,1,25.02,46.791016,10.07,223,103,91,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31253737,-105.5849468,135,BRR5,Drought,1,N,Drought,./TP3_05122018,124_105_121_R500_DD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',7848,40176,36616,84640,124,105,121,0.432608696,0.474669187,0.092722117,DD
531,750,830200,5/12/18 10:26,11,0.935393645,5,8288,9066,276,458,25.42,46.986328,778.424866,25.41,47.482422,779.502686,23.95,0.51,E,90,4.09,SW,2.51,-3.23,0.0202,28383.09,28423.1,0.257038754,6.00E-04,5.61E-05,10.1087,0.884,1.247,0.936,1.78,0.407,0.337,0.277,0.378,47.75,1,1533,11722,84.07,9515,46780.5,77.89,21183.5,46784.5,61.56,31.18,1,52.92,1,137.35,1,-6.97,1,-12.94,1,-2.87,1,487.2388224,0.582,0.148,0.547,0.27,0.441,0.759,0.766,72.273,15988.686,6684.8,3848,1.392,1.05747,0.79498,0.77592,-4965260.157,-0.995,276,-1.47,31.18156755,1,25.42,46.986328,4.09,265,123,108,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31256595,-105.5849294,5,POTR,Drought,1,N,Drought,./TP3_05122018,6_5_8_AspenDroughted_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',2818,21120,19680,43618,6,5,8,0.451189876,0.484203769,0.064606355,DD
550,755,830195,5/12/18 10:36,11,0.935393645,28,8336,5924,347,582,26.030001,47.368164,778.41687,26.02,48.055664,779.532959,24.27,0.48,E,90,2.89,W,-0.9,-2.75,0.015,26806.8,26871.75,0.214526653,0.0011,9.21E-05,12.1628,1.065,1.479,1.14,NA,0.415,0.341,0.318,0.384,65.02,1,900,11507,106.4,5538.5,45883.5,100.55,12324.5,45889.5,84.25,39.98,1,72.48,1,149.49,1,-7.36,1,-9.72,1,-3.08,1,490.4990227,0.57,0.136,0.46,0.294,0.397,0.77,0.741,89.005,16768.56,7210.5,3863,1.326,1.14887,0.60371,0.57267,-11161764.65,-0.999,347,-1.760001,39.97636865,1,26.030001,47.368164,2.89,338,157,138,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31263624,-105.5849339,28,POTR,Drought,3,N,Drought,./TP3_05122018,6_5_8_AspenDroughted_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',2818,21120,19680,43618,6,5,8,0.451189876,0.484203769,0.064606355,DD
556,757,830193,5/12/18 10:39,11,0.943553436,99,8039,6697,146,240,26.15,48.881836,778.452332,26.17,49.886719,779.521179,24.84,0.62,E,90,1.9,W,-0.42,-1.86,0.0244,27065.98,27100.69,0.372757355,6.00E-04,5.55E-05,10.1144,1.015,1.583,1.121,NA,0.402,0.336,0.29,0.374,61.22,1,707.5,11840.5,118.09,4292,47286,112.93,9541.5,47301,96.68,44.58,1,71.9,1,188.22,1,-6.63,1,-11.27,1,-2.88,1,470.3265331,0.693,0.038,0.142,0.269,0.527,0.81,0.855,45.509,19774.502,6077,3749,2.254,1.05578,0.46375,0.45083,-9352768.961,-0.998,146,-1.31,44.58054352,1,26.15,48.881836,1.9,138,65,57,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31261511,-105.5849368,99,BRVT,Drought,9,N,Drought,./TP3_05122018,116_117_TurnipDD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',7032,61098,56448,124578,116,117,NA,0.453113712,0.490439725,0.056446564,DD
557,757,830193,5/12/18 10:39,11,0.915439032,99,8039,6697,146,240,26.15,48.881836,778.452332,26.17,49.886719,779.521179,24.84,0.62,E,90,1.9,W,-0.42,-1.86,0.0244,27065.98,27100.69,0.372757355,6.00E-04,5.55E-05,10.1144,1.015,1.583,1.121,NA,0.402,0.336,0.29,0.374,61.22,1,707.5,11840.5,118.09,4292,47286,112.93,9541.5,47301,96.68,44.58,1,71.9,1,188.22,1,-6.63,1,-11.27,1,-2.88,1,470.3265331,0.693,0.038,0.142,0.269,0.527,0.81,0.855,45.509,19774.502,6077,3749,2.254,1.05578,0.46375,0.45083,-9352768.961,-0.998,146,-1.31,44.58054352,1,26.15,48.881836,1.9,138,65,57,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31261511,-105.5849368,99,BRVT,Drought,9,N,Drought,./TP3_05122018,99_103_113_TurnipDD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',11308,65432,56986,133726,99,103,113,0.426140018,0.489299014,0.084560968,DD
560,758,830192,5/12/18 10:41,11,0.943553436,92,8057,9349,156,258,25.639999,50.467773,778.476379,25.66,51.542969,779.572754,23.49,0.84,E,90,6.35,E,0.9,6.29,0.0068,28405.1,28444.06,0.077553149,5.00E-04,5.56E-05,8.8866,0.871,1.291,0.926,NA,0.409,0.342,0.272,0.376,46.23,1,1386,11655,88.2,8576.5,46556,82.19,19093,46575.5,65.88,32.81,1,51.7,1,151.77,1,-6.76,1,-13.72,1,-3.3,1,471.5491082,0.665,0.09,0.365,0.245,0.555,0.781,0.851,46.686,17409.423,5831.5,3805,1.985,1.07862,0.60516,0.58067,-10108078.95,-0.994,156,-2.149999,32.8081922,1,25.639999,50.467773,6.35,149,70,62,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31261946,-105.5849287,92,BRVT,Drought,5,N,Drought,./TP3_05122018,116_117_TurnipDD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',7032,61098,56448,124578,116,117,NA,0.453113712,0.490439725,0.056446564,DD
561,758,830192,5/12/18 10:41,11,0.915439032,92,8057,9349,156,258,25.639999,50.467773,778.476379,25.66,51.542969,779.572754,23.49,0.84,E,90,6.35,E,0.9,6.29,0.0068,28405.1,28444.06,0.077553149,5.00E-04,5.56E-05,8.8866,0.871,1.291,0.926,NA,0.409,0.342,0.272,0.376,46.23,1,1386,11655,88.2,8576.5,46556,82.19,19093,46575.5,65.88,32.81,1,51.7,1,151.77,1,-6.76,1,-13.72,1,-3.3,1,471.5491082,0.665,0.09,0.365,0.245,0.555,0.781,0.851,46.686,17409.423,5831.5,3805,1.985,1.07862,0.60516,0.58067,-10108078.95,-0.994,156,-2.149999,32.8081922,1,25.639999,50.467773,6.35,149,70,62,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31261946,-105.5849287,92,BRVT,Drought,5,N,Drought,./TP3_05122018,99_103_113_TurnipDD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',11308,65432,56986,133726,99,103,113,0.426140018,0.489299014,0.084560968,DD
564,759,830191,5/12/18 10:43,11,0.907277883,124,8643,2064,262,438,25.09,51.12793,778.458496,25.129999,52.239258,779.601746,23.89,0.33,E,90,2.78,N,-2.78,0,0.0099,21512.09,21537.67,0.19013226,7.00E-04,0.00012504,5.4079,1.507,NA,1.701,NA,0.442,0.361,0.404,0.409,106.5,1,137.5,10809.5,185.28,818.5,43070,180.84,1793.5,43078.5,165.21,71.04,1,125.91,1,NA,NA,-8.06,1,-3.8,1,-3.31,1,511.3507207,0.639,0.073,0.255,0.287,0.456,0.795,0.804,75.375,17523.154,6320.3,3584,1.773,1.08592,0.54568,0.52601,-9453541.892,-0.991,262,-1.2,71.043718,1,25.09,51.12793,2.78,255,118,105,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31261423,-105.5849296,124,BRR5,Drought,5,N,Drought,./TP3_05122018,124_105_121_R500_DD_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',7848,40176,36616,84640,124,105,121,0.432608696,0.474669187,0.092722117,DD
579,608,830537,5/12/18 10:49,11,0.935393645,6,12690,4587,307,566,23.07,42.582031,778.966858,22.959999,42.974609,778.926697,22.33,0.21,E,90,8.07,SE,6.56,4.72,0.0362,26042.87,26078.02,0.456356789,6.00E-04,7.85E-05,7.2227,1.119,1.581,1.253,NA,0.429,0.382,0.363,0.405,69.04,1,695,13519.5,115.19,4296.5,49315.5,112.37,9663,49332.5,96.74,48.5,1,82.42,1,161.54,1,-4.65,1,-6.54,1,-2.33,1,533.3554066,0.58,0.117,0.388,0.303,0.393,0.779,0.745,80.126,18540.059,7787,4105,1.381,1.12395,0.6037,0.57755,-11165004.43,-0.998,307,-0.74,48.50175747,1,23.07,42.582031,8.07,329,154,136,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31262141,-105.5849477,6,POTR,Drought,18,N,Drought,./TP3_05122018,6_5_8_AspenDroughted_Fm'.bmp,Multiple,DD,12-May,Leaf,Fm',2818,21120,19680,43618,6,5,8,0.451189876,0.484203769,0.064606355,DD
