,X,datum_id,time,DOD,RG_Proportion,Plant.ID,detector_read1,detector_read2,light_intensity,light_intensity_raw,temperature,humidity,pressure,temperature2,humidity2,pressure2,contactless_temp,thickness,compass_direction,compass,angle,angle_direction,pitch,roll,flatten.slope,ecs_initial,ecs_max,ecs_r_squared,ECSt,vH.,gH.,absorbance_530,absorbance_650,absorbance_605,absorbance_420,absorbance_940,absorbance_850,absorbance_730,absorbance_880,SPAD_530,SPAD_530_intensity,light2_raw1,light6_raw1,spad_raw1,light2_raw2,light6_raw2,spad_raw2,light2_raw3,light6_raw3,spad_raw3,SPAD_650,SPAD_650_intensity,SPAD_605,SPAD_605_intensity,SPAD_420,SPAD_420_intensity,SPAD_850,SPAD_850_intensity,SPAD_730,SPAD_730_intensity,SPAD_880,SPAD_880_intensity,baseline,Phi2,PhiNPQ,NPQt,PhiNO,qL,FvP.FmP,qP,LEF,FmPrime,Fs,FoPrime,RFd,ratio.MPF.noMPF..Phi2,ratio.MPF.noMPF..PhiNPQ,ratio.MPF.noMPF..PhiNO,MPF_slope,MPF_rsquared,Light.Intensity..PAR.,Leaf.Temp.Differential,Relative.Chlorophyll,Rel.Chl.intensity,Ambient.Temperature,Ambient.Humidity,Leaf.Angle,R,G,B,Phi2_MPF,PhiNPQ_MPF,NPQt_MPF,Phi2_noMPF,user_id,device_id,status,notes,latitude,longitude,Pot_Num.x,Spp,Trt.x,Block,Sensor,Trt3,TimePoint,Image,Pot_Num.y,Trt.y,Date,Tissue,Param,Blue,Green,Red,Total_Pix,ID_1,ID_2,ID_3,Red_Proportion,Green_Proportion,Blue_Proportion,Trt2
56,944,823254,5/9/18 9:46,8,0.921991492,8,12611,4873,202,364,24.74,45.271484,783.910461,24.629999,45.746094,783.85083,22.81,0.67,E,90,5.05,E,1.58,4.8,0.1103,26078.8,26090.24,0.765160844,7.00E-04,0.00011065,6.3207,1.089,1.639,1.286,NA,0.438,0.401,0.381,0.426,65.11,1,607.5,13245,120.15,3731,48276.5,117.58,8392,48290,101.93,50.68,1,84.85,1,165.44,1,-3.66,1,-5.67,1,-1.21,1,528.8655277,0.628,0.118,0.463,0.254,0.506,0.769,0.816,57.068,18446.803,6865.8,4255,1.687,1.08917,0.65537,0.62824,-10205903.33,-0.998,202,-1.93,50.68101933,1,24.74,45.271484,5.05,208,100,87,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31255887,-105.5849282,8,POTR,Drought,12,N,Drought,./TP2_05092018,1_3_26_Aspen_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',3704,23832,19946,47482,1,3,26,0.420074976,0.501916516,0.078008508,DD
60,969,823229,5/9/18 9:46,8,0.921991492,22,8359,7722,194,327,22.57,47.820312,783.320374,22.540001,48.677734,784.524536,20.15,0.42,E,90,9.28,SE,7.23,5.84,0.0212,27507.78,27558.42,0.263365435,7.00E-04,5.53E-05,12.4,0.952,1.406,1.019,NA,0.4,0.33,0.297,0.368,55.2,1,1065,11918,100.61,6559,47550.5,94.76,14605.5,47562,78.43,37.7,1,61.97,1,157.85,1,-6.93,1,-10.26,1,-3.13,1,492.0612021,0.621,0.088,0.304,0.291,0.437,0.789,0.787,54.185,20305.245,7702.3,4282,1.636,1.04489,0.73351,0.71973,-5954964.61,-0.999,194,-2.42,37.69594328,1,22.57,47.820312,9.28,192,88,78,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31267025,-105.5849426,22,POTR,Drought,17,Y,Drought,./TP2_05092018,1_3_26_Aspen_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',3704,23832,19946,47482,1,3,26,0.420074976,0.501916516,0.078008508,DD
75,971,823227,5/9/18 9:49,8,0.648249791,93,7659,5095,192,326,23.530001,47.87793,783.38501,23.51,48.479492,784.519836,20.81,1.4,E,90,11.11,E,4.19,10.3,0.1264,26087.86,26069.21,0.852304158,0,0,0,1.123,1.729,1.258,NA,0.406,0.33,0.3,0.364,71.66,1,506,11731,132.24,3056.5,46735,127.17,6800,46718,110.85,50.15,1,85.2,1,209.02,1,-7.66,1,-10.66,1,-4.25,1,444.5166137,0.673,0.057,0.21,0.27,0.51,0.801,0.84,58.144,18074.722,5911.2,3591,2.058,1.07005,0.51667,0.49942,-9532662.274,-0.998,192,-2.720001,50.15360378,1,23.530001,47.87793,11.11,192,88,77,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31265265,-105.584934,93,BRVT,Drought,17,N,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
79,972,823226,5/9/18 9:50,8,0.921991492,26,8035,9424,202,338,24.040001,46.952148,783.366882,24.049999,47.5,784.52771,21.15,0.58,E,90,2.84,NE,-1.61,2.33,0.0218,28437.65,28488.76,0.224478483,8.00E-04,4.21E-05,18.7774,0.871,1.209,0.911,1.653,0.389,0.316,0.263,0.356,48.25,1,1674.5,12218,82.04,10434,48745.5,75.68,23222,48769.5,59.38,30.38,1,52.22,1,126.43,1,-7.24,1,-12.55,1,-3.28,1,470.0548497,0.574,0.113,0.361,0.313,0.376,0.782,0.734,52.181,18144.441,7728.6,3957,1.348,1.04284,0.79913,0.78679,-4293848.659,-1,202,-2.890001,30.38204017,1,24.040001,46.952148,2.84,197,91,80,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31266173,-105.5849343,26,POTR,Drought,9,N,Drought,./TP2_05092018,1_3_26_Aspen_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',3704,23832,19946,47482,1,3,26,0.420074976,0.501916516,0.078008508,DD
94,949,823249,5/9/18 9:56,8,0.648249791,102,15167,1451,165,297,24.799999,47.272461,784.024597,24.68,47.392578,783.8974,23.01,0.22,E,90,4.14,S,3.84,1.57,-0.0023,20396.67,20446.73,-0.052001634,0.0011,5.79E-05,18.4685,NA,NA,NA,NA,0.641,0.581,0.723,0.627,93.5,1,158.5,8296,158.18,722.5,30139,168.41,1591,30140,153.68,67.39,1,123.36,1,197.77,1,-6.01,1,8.22,1,-1.41,1,674.1330017,0.363,0.211,0.496,0.426,0.175,0.765,NA,26.942,17736.589,11300.9,4162,0.569,0.99971,1.0006,1.00065,443462.769,0.197,165,-1.789999,67.39015817,1,24.799999,47.272461,4.14,170,82,71,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31259722,-105.5849981,102,BRVT,Drought,3,Y,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
106,975,823223,5/9/18 10:00,8,0.648249791,99,8222,7155,160,266,24.5,47.174805,783.393921,24.49,48.314453,784.522095,22.23,0.7,E,90,6.18,NE,-4.93,3.74,4.00E-04,27244.88,27302.78,0.006273659,0.001,6.54E-05,14.961,0.984,1.526,1.068,NA,0.404,0.341,0.307,0.383,58.02,1,807,11805.5,112.25,4937,47063,106.65,10994,47067.5,90.31,42.28,1,66.41,1,181.51,1,-6.28,1,-9.69,1,-2.01,1,482.7560469,0.649,0.044,0.142,0.308,0.432,0.81,0.8,46.695,20773.073,7300.9,3939,1.845,1.04556,0.56187,0.5513,-6743018.069,-0.987,160,-2.27,42.28042536,1,24.5,47.174805,6.18,154,73,63,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31269367,-105.5849485,99,BRVT,Drought,9,N,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
110,951,823247,5/9/18 10:01,8,0.789241236,124,13235,4778,231,421,24.870001,47.079102,783.951355,24.780001,47.686523,783.855286,22.15,0.18,E,90,5.17,S,5.17,0,0.0197,25675.18,25707.47,0.284773268,6.00E-04,4.55E-05,12.6462,1.099,NA,1.345,NA,0.452,0.405,0.375,0.427,64.74,1,478,12820,129.14,2894.5,46729,127.19,6501,46746.5,111.61,54.63,1,89.31,1,192.9,1,-4.69,1,-7.65,1,-2.45,1,564.3298875,0.678,0.018,0.058,0.304,0.458,0.822,0.826,70.529,19282.011,6199.3,3436,2.11,1.12463,0.16362,0.15532,-16841540.8,-0.992,231,-2.720001,54.63093146,1,24.870001,47.079102,5.17,243,115,102,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31262833,-105.5849763,124,BRR5,Drought,5,N,Drought,./TP2_05092018,124_121_136_R500_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',15366,35524,22018,72908,124,121,136,0.301997037,0.487244198,0.210758764,DD
127,956,823242,5/9/18 10:14,8,0.921991492,1,13096,5582,289,538,25.059999,42.548828,783.888733,24.93,42.730469,783.772217,23.77,0.16,E,90,17.21,S,17.21,-0.18,0.0863,26490.19,26579.89,0.774481433,NA,NA,NA,1.039,1.575,1.275,NA,0.435,0.397,0.37,0.421,60.33,1,703.5,13319,114.02,4351.5,48543,111.13,9797,48545,95.44,47.99,1,83.95,1,159.93,1,-3.8,1,-6.52,1,-1.47,1,556.429974,0.265,0.182,0.329,0.553,0.098,0.786,0.337,34.475,18380.835,13508.2,3933,0.361,1.22796,0.75402,0.74027,-5314759.466,-0.993,289,-1.289999,47.98769772,1,25.059999,42.548828,17.21,315,147,127,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31265364,-105.5848904,1,POTR,Drought,13,N,Drought,./TP2_05092018,1_3_26_Aspen_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',3704,23832,19946,47482,1,3,26,0.420074976,0.501916516,0.078008508,DD
135,958,823240,5/9/18 10:18,8,0.789241236,134,13229,1742,213,386,25.379999,44.320312,783.863281,25.27,44.523438,783.842834,23.63,0.28,E,90,4.27,S,4.27,0.17,0.0392,20944.27,20991.83,0.762135125,0.0011,3.24E-05,34.6903,NA,NA,NA,NA,0.489,0.444,0.478,0.465,101.78,1,153.5,11766,174.75,674,42808,186.67,1476.5,42812.5,172.17,74.67,1,136.9,1,215.65,1,-4.54,1,-1.12,1,-2.41,1,563.9888841,0.346,0.16,0.324,0.494,0.144,0.787,NA,33.188,15919.011,10407,3396,0.53,1.00694,0.98188,0.9809,332169.295,0.108,213,-1.749999,74.67047452,1,25.379999,44.320312,4.27,221,106,93,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31265188,-105.5849083,134,BRR5,Drought,12,N,Drought,./TP2_05092018,124_121_136_R500_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',15366,35524,22018,72908,124,121,136,0.301997037,0.487244198,0.210758764,DD
139,825,823553,5/9/18 12:49,8,0.648249791,120,13516,2789,182,335,25.24,43.022461,783.092651,25.059999,42.795898,782.973145,23.53,0.29,E,90,2.92,SW,2.45,-1.58,0.0202,23273.23,23349.4,0.362453944,0.0016,3.37E-05,47.6138,1.316,NA,1.57,NA,0.499,0.458,0.431,0.471,81.64,1,254.5,11495.5,151.78,1400,41892,153.99,3134.5,41911.5,138.55,64.58,1,107.05,1,210.14,1,-4.11,1,-6.8,1,-2.82,1,580.3002163,0.248,0.29,0.625,0.463,0.11,0.75,NA,20.28,15854.033,11928.4,3961,0.329,0.98779,1.01258,1.01394,533009.437,0.386,182,-1.71,64.57820738,1,25.24,43.022461,2.92,196,91,81,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31256522,-105.5848381,120,BRVT,Drought,1,Y,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
