,X,datum_id,time,DOD,Plant.ID,detector_read1,detector_read2,light_intensity,light_intensity_raw,temperature,humidity,pressure,temperature2,humidity2,pressure2,contactless_temp,thickness,compass_direction,compass,angle,angle_direction,pitch,roll,flatten.slope,ecs_initial,ecs_max,ecs_r_squared,ECSt,vH.,gH.,absorbance_530,absorbance_650,absorbance_605,absorbance_420,absorbance_940,absorbance_850,absorbance_730,absorbance_880,SPAD_530,SPAD_530_intensity,light2_raw1,light6_raw1,spad_raw1,light2_raw2,light6_raw2,spad_raw2,light2_raw3,light6_raw3,spad_raw3,SPAD_650,SPAD_650_intensity,SPAD_605,SPAD_605_intensity,SPAD_420,SPAD_420_intensity,SPAD_850,SPAD_850_intensity,SPAD_730,SPAD_730_intensity,SPAD_880,SPAD_880_intensity,baseline,Phi2,PhiNPQ,NPQt,PhiNO,qL,FvP.FmP,qP,LEF,FmPrime,Fs,FoPrime,RFd,ratio.MPF.noMPF..Phi2,ratio.MPF.noMPF..PhiNPQ,ratio.MPF.noMPF..PhiNO,MPF_slope,MPF_rsquared,Light.Intensity..PAR.,Leaf.Temp.Differential,Relative.Chlorophyll,Rel.Chl.intensity,Ambient.Temperature,Ambient.Humidity,Leaf.Angle,R,G,B,Phi2_MPF,PhiNPQ_MPF,NPQt_MPF,Phi2_noMPF,user_id,device_id,status,notes,latitude,longitude,Pot_Num.x,Spp,Symbol,Trt.x,Block,Sensor,Trt3,TimePoint,Image,Pot_Num.y,Trt.y,Date,Tissue,Param,Blue,Green,Red,Total_Pix,ID_1,ID_2,ID_3,Red_Proportion,Green_Proportion,Blue_Proportion,RG_Proportion,Trt2
1270,185,853084,6/5/18 9:55,35,19,12894,8238,154,272,25.889999,42.280273,782.575684,25.74,42.711914,782.440369,23.53,0.25,E,90,8.03,SW,6.12,-5.21,-0.0291,27892.17,27956.48,-0.340750106,7.00E-04,7.50E-05,8.7643,0.872,1.316,1.008,NA,0.43,0.383,0.305,0.404,44.21,1,1278.5,13482,88.6,8089,49102,84.71,18168.5,49460.5,69.43,36.82,1,57.83,1,148.13,1,-4.71,1,-12.52,1,-2.57,1,544.9495242,0.614,0.137,0.548,0.25,0.504,0.759,0.808,42.533,16788.88,6484.7,4043,1.589,1.045,0.81109,0.79349,-4880529.06,-0.999,154,-2.359999,36.81898067,1,25.889999,42.280273,8.03,152,76,67,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31264472,-105.5849624,19,POTR,25,Water,4,N,Water,./TP7_06052018,21_16_29_Aspen_WW_Fm'.bmp,Multiple,WW,5-Jun,Leaf,Fm',4514,27708,20968,53190,21,16,29,0.394209438,0.520924986,0.084865576,0.915134424,WW
1192,175,853094,6/5/18 9:41,35,29,12999,7610,153,268,26.41,39.561523,782.712524,26.25,39.597656,782.602417,23.77,0.14,E,90,2.04,N,-2,-0.4,0.1065,27635.07,27646.95,0.735201608,8.00E-04,0.00014501,5.693,0.905,1.351,1.069,1.823,0.428,0.381,0.322,0.408,47.63,1,1180.5,13535.5,92.24,7463,49380,88.45,16811,49394.5,72.74,38.42,1,64.07,1,139.42,1,-4.69,1,-10.61,1,-2.06,1,550.9170848,0.599,0.137,0.519,0.264,0.466,0.763,0.786,41.266,17496.461,7009.7,4154,1.496,1.05989,0.77044,0.75016,-6203738.117,-0.998,153,-2.64,38.41827768,1,26.41,39.561523,2.04,148,76,65,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31260588,-105.5849571,29,POTR,25,Water,10,N,Water,./TP7_06052018,21_16_29_Aspen_WW_Fm'.bmp,Multiple,WW,5-Jun,Leaf,Fm',4514,27708,20968,53190,21,16,29,0.394209438,0.520924986,0.084865576,0.915134424,WW
1219,200,853062,6/5/18 9:46,35,18,8638,5222,351,592,27.200001,37.635742,782.053528,27.200001,38.323242,783.165283,25.23,0.49,E,90,7.76,SW,7.09,-3.18,-0.0158,26574.6,26647.99,-0.227955481,0.0012,7.61E-05,15.7231,1.122,1.477,1.224,NA,0.451,0.384,0.364,0.421,67.15,1,903,10595,102.67,5556.5,42226.5,96.81,12373.5,42233,80.47,38.51,1,77.32,1,146.33,1,-6.71,1,-8.62,1,-3.01,1,511.0111165,0.554,0.18,0.68,0.265,0.428,0.744,0.745,87.544,14472.333,6451,3706,1.243,1.13481,0.69454,0.65923,-8453001.496,-0.999,351,-1.970001,38.50728633,1,27.200001,37.635742,7.76,347,158,140,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31261504,-105.5849351,18,POTR,25,Water,16,Y,Water,./TP7_06052018,21_16_29_Aspen_WW_Fm'.bmp,Multiple,WW,5-Jun,Leaf,Fm',4514,27708,20968,53190,21,16,29,0.394209438,0.520924986,0.084865576,0.915134424,WW
1252,205,853057,6/5/18 9:51,35,16,8339,6111,187,309,27.120001,37.22168,781.973999,27.129999,38.099609,783.096497,25.23,0.66,E,90,1.64,W,-0.18,-1.63,0.0304,27073.61,27095.05,0.44282098,4.00E-04,5.36E-05,8.2143,1.053,1.509,1.169,NA,0.447,0.373,0.345,0.417,60.58,1,840,10689,106.19,5144,42667,100.61,11434.5,42693,84.37,39.89,1,72.22,1,161.64,1,-7.36,1,-10.17,1,-2.99,1,490.7027852,0.637,0.102,0.389,0.261,0.5,0.778,0.818,53.613,16895.859,6131.3,3743,1.756,1.05998,0.70049,0.68068,-6784946.772,-0.998,187,-1.890001,39.89365892,1,27.120001,37.22168,1.64,179,83,74,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31261693,-105.5849342,16,POTR,25,Water,7,N,Water,./TP7_06052018,21_16_29_Aspen_WW_Fm'.bmp,Multiple,WW,5-Jun,Leaf,Fm',4514,27708,20968,53190,21,16,29,0.394209438,0.520924986,0.084865576,0.915134424,WW
1204,198,853065,6/5/18 9:43,35,30,8423,4836,293,502,27.059999,39.858398,782.072632,27.030001,40.743164,783.217102,25.76,1.31,E,90,9.87,SE,7.42,6.52,0.0097,26427.31,26497.49,0.134761453,0.0013,8.73E-05,15.4531,1.15,1.529,1.23,NA,0.461,0.406,0.38,0.435,68.92,1,801,10347.5,106.85,4888.5,41204.5,101.3,10882,41215.5,84.99,40.15,1,76.93,1,166,1,-5.5,1,-8.06,1,-2.59,1,496.4081358,0.496,0.238,0.896,0.266,0.382,0.72,0.688,65.349,15293.623,7713.6,4279,0.983,1.08202,0.84036,0.81604,-4729343.077,-0.999,293,-1.299999,40.15360378,1,27.059999,39.858398,9.87,299,133,116,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.3126178,-105.5849325,30,POTR,25,Water,15,N,Water,./TP7_06052018,21_16_29_Aspen_WW_Fm'.bmp,Multiple,WW,5-Jun,Leaf,Fm',4514,27708,20968,53190,21,16,29,0.394209438,0.520924986,0.084865576,0.915134424,WW
1234,180,853089,6/5/18 9:48,35,21,13217,5050,884,1659,25.09,40.708984,782.63147,24.969999,41.026367,782.517822,23.29,0.22,E,90,3.18,W,-0.41,-3.15,-0.0309,26192.03,26322.74,-0.425772404,NA,NA,NA,1.076,1.493,1.233,NA,0.463,0.416,0.372,0.439,61.34,1,851,12498,102.99,5314.5,45527.5,99.67,11968,45535,83.97,43.14,1,77.04,1,156.56,1,-4.64,1,-9.11,1,-2.35,1,563.3068772,0.271,0.494,2.105,0.235,0.237,0.611,0.444,107.988,9385.066,6837.4,3649,0.373,1.47097,0.82506,0.76243,-4630361.031,-0.99,884,-1.8,43.14147627,1,25.09,40.708984,3.18,977,446,392,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31264837,-105.584927,21,POTR,25,Water,8,N,Water,./TP7_06052018,21_16_29_Aspen_WW_Fm'.bmp,Multiple,WW,5-Jun,Leaf,Fm',4514,27708,20968,53190,21,16,29,0.394209438,0.520924986,0.084865576,0.915134424,WW
542,753,830197,5/12/18 10:31,11,133,8192,6485,311,522,25.66,51.345703,778.463135,25.68,52.152344,779.569092,23.39,0.53,E,90,1.51,NW,-0.65,-1.36,0.0681,26863.65,26884.66,0.705624264,0,0,0,1.025,1.581,1.136,NA,0.399,0.317,0.279,0.37,62.6,1,710.5,11943,118.28,4332,47688.5,112.9,9640.5,47691,96.59,44.66,1,73.75,1,198.68,1,-8.21,1,-11.93,1,-2.89,1,480.7184217,0.661,0.059,0.211,0.28,0.483,0.801,0.825,92.485,17562.009,5956.3,3491,1.948,1.12744,0.39602,0.37438,-14402199.51,-0.999,311,-2.27,44.65537613,1,25.66,51.345703,1.51,305,140,124,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.312576,-105.5849231,133,BRR5,21,Water,11,N,Water,./TP3_05122018,137_145_133_R500_WW_Fm'.bmp,Multiple,WW,12-May,Leaf,Fm',4394,27642,25328,57364,137,145,133,0.441531274,0.481870162,0.076598564,0.923401436,WW
500,741,830209,5/12/18 10:01,11,129,8224,6048,253,427,24.75,49.429688,778.309082,24.74,50.193359,779.48407,22.05,0.87,E,90,3.06,SW,2.04,-2.28,0.013,26423.28,26451.18,0.188061853,5.00E-04,6.58E-05,7.3463,1.052,1.651,1.18,NA,0.433,0.367,0.321,0.39,61.92,1,605,11045,121.87,3645.5,43994.5,116.89,8099,44007.5,100.66,46.07,1,74.74,1,211.38,1,-6.52,1,-11.17,1,-4.21,1,482.8918886,0.676,0.032,0.109,0.293,0.473,0.815,0.829,76.916,19459.377,6312.8,3602,2.083,1.11541,0.27396,0.26055,-15836088.16,-0.994,253,-2.7,46.06931863,1,24.75,49.429688,3.06,250,115,101,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.3126263,-105.5849558,129,BRR5,21,Water,15,N,Water,./TP3_05122018,137_145_133_R500_WW_Fm'.bmp,Multiple,WW,12-May,Leaf,Fm',4394,27642,25328,57364,137,145,133,0.441531274,0.481870162,0.076598564,0.923401436,WW
576,763,830187,5/12/18 10:49,11,105,8214,5983,223,373,23.879999,55.039062,778.383301,23.940001,56.774414,779.594055,21.67,0.7,E,90,4.35,SW,3.31,-2.82,0.0163,26233.15,26265.71,0.221663741,0,0,0,1.058,1.671,1.209,NA,0.414,0.34,0.32,0.38,64.42,1,578,11538.5,125.75,3456,46064,121.21,7679.5,46070,104.96,47.6,1,79.5,1,208.84,1,-7.38,1,-9.39,1,-3.4,1,482.2126802,0.682,0.044,0.159,0.274,0.509,0.808,0.844,68.42,18473.705,5878.1,3547,2.143,1.14653,0.29417,0.27503,-18330526.36,-0.991,223,-2.209999,47.59747932,1,23.879999,55.039062,4.35,218,100,89,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31262994,-105.5849216,105,BRR5,21,Water,14,N,Water,./TP3_05122018,137_145_133_R500_WW_Fm'.bmp,Multiple,WW,12-May,Leaf,Fm',4394,27642,25328,57364,137,145,133,0.441531274,0.481870162,0.076598564,0.923401436,WW
553,756,830194,5/12/18 10:37,11,126,8318,5459,280,466,26.27,48.106445,778.458069,26.27,49.082031,779.490479,23.53,0.56,E,90,5.16,W,1.9,-4.8,0.1938,26189.26,26170.59,0.934297977,0,0,0,1.098,1.705,1.21,NA,0.427,0.356,0.328,0.394,67.13,1,534.5,11188,127.81,3194,44716,123.34,7100,44700,107.06,48.41,1,78.34,1,211.94,1,-7.12,1,-9.93,1,-3.33,1,489.2764476,0.669,0.027,0.087,0.304,0.451,0.818,0.818,84.334,20485.102,6774.1,3732,2.024,1.16141,0.19125,0.17927,-20701279.89,-0.993,280,-2.74,48.40882237,1,26.27,48.106445,5.16,270,125,111,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31260843,-105.5849279,126,BRR5,21,Water,10,Y,Water,./TP3_05122018,137_145_133_R500_WW_Fm'.bmp,Multiple,WW,12-May,Leaf,Fm',4394,27642,25328,57364,137,145,133,0.441531274,0.481870162,0.076598564,0.923401436,WW
534,751,830199,5/12/18 10:28,11,150,8456,4862,288,486,25.73,48.870117,778.426086,25.719999,49.945312,779.509827,23.01,0.51,E,90,1.38,E,0,1.38,0.0158,25529.26,25553.97,0.217438187,4.00E-04,2.47E-05,15.9848,1.149,NA,1.284,NA,0.43,0.357,0.339,0.396,71.92,1,447,11122.5,135.32,2671.5,44316.5,130.71,5924,44312.5,114.55,51.37,1,85.44,1,225.97,1,-7.22,1,-9.07,1,-3.3,1,498.6495236,0.697,0.011,0.036,0.292,0.489,0.825,0.845,90.363,19855.481,6011.4,3478,2.303,1.13239,0.0975,0.09193,-19097947.18,-0.999,288,-2.72,51.3666798,1,25.73,48.870117,1.38,284,131,114,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257695,-105.5849227,150,BRR5,21,Water,2,N,Water,./TP3_05122018,137_145_133_R500_WW_Fm'.bmp,Multiple,WW,12-May,Leaf,Fm',4394,27642,25328,57364,137,145,133,0.441531274,0.481870162,0.076598564,0.923401436,WW
659,601,833731,5/16/18 10:03,15,145,8033,6359,151,247,24.389999,45.831055,783.227478,24.389999,46.648438,784.390015,22.87,0.7,E,90,3.57,N,-3.46,0.9,0.0477,26568.89,26583.15,0.575290156,5.00E-04,2.63E-05,19.4795,1.035,1.614,1.153,NA,0.404,0.328,0.291,0.37,63.07,1,659.5,11790,120.96,4002.5,47007.5,115.71,8899,47035,99.46,45.71,1,74.86,1,197.84,1,-7.6,1,-11.34,1,-3.44,1,469.9190081,0.693,0.041,0.152,0.267,0.533,0.809,0.856,47.079,19046.06,5850.1,3638,2.256,1.09563,0.35794,0.3413,-14017083.09,-1,151,-1.519999,45.71090981,1,24.389999,45.831055,3.57,142,67,60,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31262548,-105.5849367,145,BRR5,21,Water,4,N,Water,./TP4_05162018,145_129_148_R500WW_Fm'.bmp,Multiple,WW,16-May,Leaf,Fm',3082,20316,18624,42022,145,129,148,0.443196421,0.483461044,0.073342535,0.926657465,WW
623,596,833736,5/16/18 9:54,15,129,7803,5052,144,237,26.290001,45.3125,783.266418,26.290001,45.791016,784.436279,22.67,1.3,E,90,4.72,E,0.18,4.72,0.0808,26129.01,26161.39,0.705337462,0.0038,1.33E-05,284.5126,1.117,NA,1.251,NA,0.424,0.352,0.321,0.386,69.38,1,495.5,11275.5,131.44,2990,44971.5,126.45,6640.5,44989.5,110.25,49.84,1,82.76,1,228.88,1,-7.14,1,-10.24,1,-3.76,1,454.2972148,0.722,0.013,0.05,0.265,0.557,0.823,0.877,46.756,18030.635,5020.7,3192,2.591,1.11465,0.12887,0.12148,-17380283,-0.996,144,-3.620001,49.8385191,1,26.290001,45.3125,4.72,136,65,57,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.312612,-105.5849558,129,BRR5,21,Water,15,N,Water,./TP4_05162018,145_129_148_R500WW_Fm'.bmp,Multiple,WW,16-May,Leaf,Fm',3082,20316,18624,42022,145,129,148,0.443196421,0.483461044,0.073342535,0.926657465,WW
680,605,833727,5/16/18 10:08,15,130,8283,5395,173,283,25.459999,49.736328,783.236877,25.440001,50.714844,784.393433,22.39,0.6,E,90,5.41,SE,3.7,3.95,0.0447,26041.22,26065.64,0.607609462,0,0,0,1.104,NA,1.274,NA,0.407,0.339,0.338,0.387,69.63,1,485.5,11702.5,133.94,2912,46705,129.24,6471,46720,113.01,50.82,1,86.63,1,222.38,1,-6.82,1,-6.96,1,-2.01,1,486.8992182,0.696,0.019,0.067,0.285,0.501,0.821,0.848,54.194,19424.671,5902.4,3485,2.291,1.09111,0.21354,0.20461,-14283176.95,-0.996,173,-3.069999,50.82315872,1,25.459999,49.736328,5.41,162,77,69,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31262529,-105.5849442,130,BRR5,21,Water,16,N,Water,./TP4_05162018,145_129_148_R500WW_Fm'.bmp,Multiple,WW,16-May,Leaf,Fm',3082,20316,18624,42022,145,129,148,0.443196421,0.483461044,0.073342535,0.926657465,WW
629,576,833756,5/16/18 9:56,15,148,12799,5115,301,552,25.870001,45.899414,783.908203,25.75,46.344727,783.827515,22.95,0.25,E,90,4.14,S,3.98,-1.15,0.025,25919.69,25956.56,0.38400375,6.00E-04,0.00010724,5.3885,1.063,1.723,1.322,NA,0.46,0.409,0.367,0.43,60.31,1,500.5,12579.5,126.32,3031.5,45854,124.36,6815,45873,108.74,53.39,1,86.16,1,195.7,1,-5.13,1,-9.29,1,-3.04,1,539.5503028,0.658,0.046,0.154,0.296,0.456,0.809,0.814,89.179,17016.671,5813.1,3255,1.927,1.13253,0.32967,0.31209,-14400036.43,-0.994,301,-2.920001,53.39191564,1,25.870001,45.899414,4.14,319,151,129,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31256664,-105.5849788,148,BRR5,21,Water,11,N,Water,./TP4_05162018,145_129_148_R500WW_Fm'.bmp,Multiple,WW,16-May,Leaf,Fm',3082,20316,18624,42022,145,129,148,0.443196421,0.483461044,0.073342535,0.926657465,WW
656,581,833751,5/16/18 10:02,15,144,12597,4654,124,220,26.540001,46.493164,783.865295,26.43,46.817383,783.771118,23.15,0.26,E,90,5.22,SW,3.32,-4.02,0.012,25482.57,25504.87,0.20911179,0,0,0,1.102,NA,1.253,NA,0.451,0.397,0.364,0.424,65.11,1,463.5,12847,130.57,2794.5,46818,128.8,6281,46831,113.19,55.26,1,80.2,1,197.11,1,-5.36,1,-8.69,1,-2.66,1,528.0698529,0.718,0.03,0.119,0.252,0.585,0.813,0.883,40.089,22058.447,6210.6,4115,2.552,1.10884,0.26091,0.24592,-20443248.65,-0.989,124,-3.390001,55.25922671,1,26.540001,46.493164,5.22,124,62,54,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.3125622,-105.5849823,144,BRR5,21,Water,4,N,Water,./TP4_05162018,145_129_148_R500WW_Fm'.bmp,Multiple,WW,16-May,Leaf,Fm',3082,20316,18624,42022,145,129,148,0.443196421,0.483461044,0.073342535,0.926657465,WW
668,583,833749,5/16/18 10:05,15,143,12506,4328,720,1352,27.07,45.338867,783.866455,26.950001,45.759766,783.749146,23.85,0.22,E,90,4.43,SE,3.36,2.9,0.0345,25184.28,25241.37,0.511565105,9.00E-04,8.63E-05,10.0174,1.131,NA,1.302,NA,0.456,0.409,0.38,0.438,67.49,1,391,12686,137.41,2312.5,46276,136.51,5191,46286.5,120.96,58.26,1,84.53,1,207.48,1,-4.74,1,-7.64,1,-1.86,1,522.8979671,0.538,0.086,0.23,0.375,0.294,0.799,0.674,174.426,19447.997,8978.1,3916,1.166,1.24175,0.40637,0.38311,-16471026.99,-0.996,720,-3.22,58.26449912,1,27.07,45.338867,4.43,798,363,319,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31256232,-105.5849761,143,BRR5,21,Water,4,N,Water,./TP4_05162018,145_129_148_R500WW_Fm'.bmp,Multiple,WW,16-May,Leaf,Fm',3082,20316,18624,42022,145,129,148,0.443196421,0.483461044,0.073342535,0.926657465,WW
1357,75,868501,6/15/18 9:42,45,14,13062,8001,488,927,26.25,43.085938,779.651428,26.17,43.737305,779.561279,25.09,0.11,E,90,8.4,W,2.25,-8.1,0.0315,27970.17,28034.67,0.31916885,0.0015,0.00013868,10.6402,0.888,1.257,1.032,NA,0.427,0.379,0.312,0.406,46.07,1,1463,13581.5,83.07,9297,49535.5,79.04,20948.5,49531,63.31,34.39,1,60.55,1,141.28,1,-4.76,1,-11.43,1,-2.12,1,554.4976211,0.345,0.282,0.758,0.372,0.19,0.735,0.47,75.853,13904.764,9101.8,3683,0.528,1.22104,0.78932,0.76215,-5653287.49,-0.984,488,-1.16,34.38927944,1,26.25,43.085938,8.4,553,249,215,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31265952,-105.5849278,14,POTR,25,Water,6,N,Water,./TP8_06152018,20_14_13_Aspen_WW_Fm'.bmp,Multiple,WW,15-Jun,Leaf,Fm',2166,15526,14602,32294,20,14,13,0.452158296,0.480770422,0.067071283,0.932928717,WW
1369,77,868499,6/15/18 9:44,45,21,13577,5746,449,860,26.040001,43.43457,779.600647,25.940001,43.945312,779.510376,24.91,0.19,E,90,7.29,E,-2.02,7.01,0.0286,26699.67,26788.15,0.37497635,0.0016,6.64E-05,24.4439,1.024,1.37,1.142,NA,0.482,0.441,0.373,0.458,54.11,1,1128,11949.5,88.8,7102.5,43566,85.16,16007,43561.5,69.41,36.91,1,65.93,1,151,1,-4.12,1,-10.98,1,-2.49,1,583.7670848,0.358,0.417,1.85,0.225,0.325,0.631,0.566,72.245,9975.373,6408.6,3678,0.557,1.28011,0.81561,0.75761,-5031966.394,-0.987,449,-1.130001,36.90685413,1,26.040001,43.43457,7.29,518,229,198,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31266742,-105.5849278,21,POTR,25,Water,8,N,Water,./TP8_06152018,20_14_13_Aspen_WW_Fm'.bmp,Multiple,WW,15-Jun,Leaf,Fm',2166,15526,14602,32294,20,14,13,0.452158296,0.480770422,0.067071283,0.932928717,WW
1363,76,868500,6/15/18 9:43,45,13,13207,7862,366,692,26.059999,43.582031,779.647278,25.959999,44.075195,779.565002,26.62,0.12,E,90,2.97,S,2.94,-0.41,2.00E-04,27790.94,27892.89,0.003367676,0.0016,0.00010348,15.6,0.888,1.333,1.053,NA,0.429,0.385,0.321,0.414,45.86,1,1228.5,13499,90.39,7784,49228.5,86.49,17537,49246,70.78,37.61,1,62.4,1,141.85,1,-4.42,1,-10.87,1,-1.51,1,562.7385381,0.479,0.28,1.162,0.241,0.407,0.693,0.691,78.81,13353.736,6963.9,4100,0.918,1.17804,0.76287,0.71599,-7525063.241,-0.99,366,0.560001,37.60544815,1,26.059999,43.582031,2.97,412,186,162,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31266753,-105.5849277,13,POTR,25,Water,6,N,Water,./TP8_06152018,20_14_13_Aspen_WW_Fm'.bmp,Multiple,WW,15-Jun,Leaf,Fm',2166,15526,14602,32294,20,14,13,0.452158296,0.480770422,0.067071283,0.932928717,WW
1354,60,868516,6/15/18 9:41,45,18,8514,5276,187,322,27.74,38.739258,779.006714,27.74,39.485352,780.200317,25.43,0.56,E,90,7.88,S,7.71,1.64,0.0153,26673.64,26700.26,0.22215122,5.00E-04,0.00010791,4.8223,1.119,1.527,1.222,NA,0.436,0.365,0.341,0.411,68.24,1,805.5,10951,109.07,4933.5,43665,103.42,10979,43659,87.11,41.03,1,78.56,1,157.78,1,-7.14,1,-9.54,1,-2.53,1,502.5889323,0.616,0.099,0.346,0.285,0.442,0.784,0.786,51.812,17062.813,6557.1,3690,1.602,1.06977,0.67146,0.6521,-7241759.006,-1,187,-2.31,41.02796377,1,27.74,38.739258,7.88,192,87,76,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31266149,-105.5849629,18,POTR,25,Water,16,Y,Water,./TP8_06152018,20_14_13_Aspen_WW_Fm'.bmp,Multiple,WW,15-Jun,Leaf,Fm',2166,15526,14602,32294,20,14,13,0.452158296,0.480770422,0.067071283,0.932928717,WW
1330,55,868521,6/15/18 9:35,45,24,8401,5378,208,345,26.780001,39.955078,779.104309,26.780001,40.839844,780.249512,24.61,0.47,E,90,2.18,E,0.65,2.08,-0.0043,26362.27,26395.55,-0.060120658,4.00E-04,3.21E-05,13.523,1.106,1.561,1.209,NA,0.426,0.347,0.321,0.391,68,1,744.5,11213,113.51,4540.5,44732.5,108.08,10103,44740.5,91.78,42.78,1,78.29,1,181.23,1,-7.86,1,-10.51,1,-3.53,1,494.9138774,0.616,0.133,0.527,0.252,0.501,0.762,0.808,57.626,14823.959,5697.4,3533,1.602,1.0667,0.74086,0.71765,-5886995.569,-0.987,208,-2.170001,42.77668373,1,26.780001,39.955078,2.18,200,93,82,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31265363,-105.5848933,24,POTR,25,Water,8,N,Water,./TP8_06152018,20_14_13_Aspen_WW_Fm'.bmp,Multiple,WW,15-Jun,Leaf,Fm',2166,15526,14602,32294,20,14,13,0.452158296,0.480770422,0.067071283,0.932928717,WW
1375,78,868498,6/15/18 9:45,45,20,12711,6185,266,489,25.91,44.719727,779.571228,25.809999,45.401367,779.508972,26.18,0.26,E,90,8.04,W,1.78,-7.84,-8.00E-04,27087.22,27158.41,-0.011450748,0.0011,7.56E-05,14.2391,0.989,1.465,1.188,NA,0.429,0.382,0.341,0.404,56,1,906.5,13518.5,103.65,5687,49363.5,100.24,12810.5,49370,84.52,43.43,1,75.94,1,143.95,1,-4.69,1,-8.76,1,-2.51,1,534.5489187,0.577,0.176,0.709,0.248,0.477,0.741,0.778,69.011,17682.086,7487.8,4586,1.361,1.11643,0.70805,0.67285,-10046529.06,-0.997,266,0.27,43.4314587,1,25.91,44.719727,8.04,283,134,118,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31267333,-105.5849246,20,POTR,25,Water,7,N,Water,./TP8_06152018,20_14_13_Aspen_WW_Fm'.bmp,Multiple,WW,15-Jun,Leaf,Fm',2166,15526,14602,32294,20,14,13,0.452158296,0.480770422,0.067071283,0.932928717,WW
731,536,837525,5/19/18 10:18,18,20,12662,14995,90,162,22.860001,54.648438,783.405212,22.709999,54.520508,783.342896,20.85,0.1,E,90,4.51,E,1.12,4.37,0.044,27419.25,27459.31,0.361785996,0.0011,4.65E-05,22.6009,0.624,0.93,0.686,1.362,0.407,0.359,0.249,0.379,21.64,1,3110.5,14203.5,52.25,19990,51791,47.73,45122,51788.5,31.92,20.85,1,27.89,1,95.42,1,-4.85,1,-15.86,1,-2.8,1,531.7640571,0.544,0.242,1.126,0.214,0.52,0.697,0.781,22.034,17192.843,7839.2,5217,1.193,1.0055,0.98538,0.98258,-494380.941,-0.992,90,-2.010001,20.84797891,1,22.860001,54.648438,4.51,94,45,38,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31261044,-105.5849484,20,POTR,25,Water,7,N,Water,./TP5_05192018,24_29_15_Aspen_WW_Fm'.bmp,Multiple,WW,19-May,Leaf,Fm',1792,14076,13396,29264,24,29,15,0.457763805,0.481000547,0.061235648,0.938764352,WW
760,560,837501,5/19/18 10:22,18,29,8322,9868,98,161,23.540001,53.561523,782.91272,23.5,54.165039,784.098267,21.37,0.45,E,90,4.31,S,4.29,0.43,0.0841,28428.03,28429.13,0.654573002,0,0,0,0.846,1.23,0.883,1.767,0.398,0.331,0.27,0.367,44.82,1,1596,11971,83.24,9922.5,47648,76.87,22107,47660.5,60.52,30.85,1,48.54,1,136.89,1,-6.66,1,-12.72,1,-3.08,1,489.548131,0.638,0.102,0.393,0.26,0.503,0.778,0.82,28.14,20825.691,7537.1,4625,1.763,1.01791,0.88307,0.87525,-2745210.438,-0.99,98,-2.170001,30.85466719,1,23.540001,53.561523,4.31,94,43,38,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.3125854,-105.5849656,29,POTR,25,Water,10,N,Water,./TP5_05192018,24_29_15_Aspen_WW_Fm'.bmp,Multiple,WW,19-May,Leaf,Fm',1792,14076,13396,29264,24,29,15,0.457763805,0.481000547,0.061235648,0.938764352,WW
