,X,datum_id,time,DOD,Plant.ID,detector_read1,detector_read2,light_intensity,light_intensity_raw,temperature,humidity,pressure,temperature2,humidity2,pressure2,contactless_temp,thickness,compass_direction,compass,angle,angle_direction,pitch,roll,flatten.slope,ecs_initial,ecs_max,ecs_r_squared,ECSt,vH.,gH.,absorbance_530,absorbance_650,absorbance_605,absorbance_420,absorbance_940,absorbance_850,absorbance_730,absorbance_880,SPAD_530,SPAD_530_intensity,light2_raw1,light6_raw1,spad_raw1,light2_raw2,light6_raw2,spad_raw2,light2_raw3,light6_raw3,spad_raw3,SPAD_650,SPAD_650_intensity,SPAD_605,SPAD_605_intensity,SPAD_420,SPAD_420_intensity,SPAD_850,SPAD_850_intensity,SPAD_730,SPAD_730_intensity,SPAD_880,SPAD_880_intensity,baseline,Phi2,PhiNPQ,NPQt,PhiNO,qL,FvP.FmP,qP,LEF,FmPrime,Fs,FoPrime,RFd,ratio.MPF.noMPF..Phi2,ratio.MPF.noMPF..PhiNPQ,ratio.MPF.noMPF..PhiNO,MPF_slope,MPF_rsquared,Light.Intensity..PAR.,Leaf.Temp.Differential,Relative.Chlorophyll,Rel.Chl.intensity,Ambient.Temperature,Ambient.Humidity,Leaf.Angle,R,G,B,Phi2_MPF,PhiNPQ_MPF,NPQt_MPF,Phi2_noMPF,user_id,device_id,status,notes,latitude,longitude,Pot_Num.x,Spp,Symbol,Trt.x,Block,Sensor,Trt3,TimePoint,Image,Pot_Num.y,Trt.y,Date,Tissue,Param,Blue,Green,Red,Total_Pix,ID_1,ID_2,ID_3,Red_Proportion,Green_Proportion,Blue_Proportion,RG_Proportion,Trt2
202,843,823535,5/9/18 13:19,8,114,12495,5375,327,604,30.719999,48.435547,783.161255,30.690001,48.740234,782.987671,27.11,0.51,E,90,8.6,SW,3.65,-7.8,0.0265,26431.52,26463.32,0.405000108,0,0,0,1.048,1.688,1.337,NA,0.453,0.413,0.343,0.438,59.46,1,543.5,12776,123.42,3330,46656,121.03,7488,46667.5,105.4,52.12,1,88.4,1,186.16,1,-4.03,1,-11.01,1,-1.56,1,522.2727941,0.64,0.049,0.159,0.311,0.422,0.808,0.792,94.186,16396.001,5901.4,3146,1.778,1.14558,0.33482,0.31685,-13834749.97,-0.996,327,-3.609999,52.11775044,1,30.719999,48.435547,8.6,350,166,146,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31255518,-105.5849053,114,BRVT,22,Water,2,Y,Water,./TP2_05092018,111_94_116_Turnip_WW_Fm'.bmp,Multiple,WW,9-May,Leaf,Fm',12858,68402,60016,141276,111,94,116,0.42481384,0.484172825,0.091013336,0.908986664,WW
131,957,823241,5/9/18 10:16,8,119,13182,4283,247,445,25.360001,45.390625,783.919861,25.25,45.577148,783.845947,23.49,0.7,E,90,7.49,SE,3.13,6.81,0.0601,25564.62,25509.98,0.423937016,0,0,0,1.145,NA,1.416,NA,0.478,0.445,0.414,0.461,66.65,1,435,12057.5,130.57,2608.5,43933.5,129.03,5862,43925.5,113.4,55.26,1,93.75,1,191,1,-3.34,1,-6.48,1,-1.7,1,561.3176903,0.645,0.042,0.134,0.313,0.422,0.811,0.795,71.687,18101.359,6426.7,3414,1.817,1.09394,0.3867,0.37268,-11200389.52,-0.995,247,-1.870001,55.25922671,1,25.360001,45.390625,7.49,253,123,106,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31265605,-105.5848925,119,BRVT,22,Water,8,N,Water,./TP2_05092018,111_94_116_Turnip_WW_Fm'.bmp,Multiple,WW,9-May,Leaf,Fm',12858,68402,60016,141276,111,94,116,0.42481384,0.484172825,0.091013336,0.908986664,WW
147,903,823475,5/9/18 12:56,8,119,8536,3649,1225,2097,28.07,41.755859,782.53717,28.02,42.417969,783.570374,26.39,0.69,E,90,6.18,E,-1.37,6.02,0.0219,24479.58,24583.49,0.364129886,0.0019,0.00011166,16.9406,1.269,NA,1.427,NA,0.445,0.386,0.388,0.424,82.41,1,268,10733,155.99,1543,42804.5,153.04,3408,42805,137.05,59.51,1,98.16,1,252.33,1,-5.89,1,-5.69,1,-2.12,1,504.0831908,0.182,0.268,0.488,0.549,0.068,0.766,0.238,100.558,18586.006,15195.6,4343,0.223,1.53236,0.77836,0.75996,-6038105.421,-0.999,1225,-1.68,59.50768019,1,28.07,41.755859,6.18,1243,554,491,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31254933,-105.5848763,119,BRVT,22,Water,8,N,Water,./TP2_05092018,111_94_116_Turnip_WW_Fm'.bmp,Multiple,WW,9-May,Leaf,Fm',12858,68402,60016,141276,111,94,116,0.42481384,0.484172825,0.091013336,0.908986664,WW
206,912,823466,5/9/18 13:20,8,118,7807,3203,1046,1796,32.060001,40.021484,782.539856,32.110001,40.428711,783.65564,31.25,1.5,E,90,5.04,SE,4.45,2.35,-0.0181,24580.24,24637.55,-0.264566399,0.001,0.00021633,4.6535,1.332,NA,1.547,NA,0.451,0.396,0.381,0.434,88.06,1,260,10585,156.7,1501.5,42339,153.75,3332.5,42347.5,137.56,59.79,1,109.57,1,230.51,1,-5.48,1,-7.01,1,-1.69,1,454.5688981,0.368,0.315,0.991,0.318,0.237,0.71,0.518,173.16,11081.336,7004.8,3211,0.582,1.38305,0.71931,0.67201,-6936140.005,-0.999,1046,-0.810001,59.78731784,1,32.060001,40.021484,5.04,1065,477,422,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257169,-105.584877,118,BRVT,22,Water,8,N,Water,./TP2_05092018,111_94_116_Turnip_WW_Fm'.bmp,Multiple,WW,9-May,Leaf,Fm',12858,68402,60016,141276,111,94,116,0.42481384,0.484172825,0.091013336,0.908986664,WW
820,546,837515,5/19/18 10:32,18,145,9675,32287,210,381,24.860001,55.426758,783.629211,24.73,55.418945,783.532654,22.57,0.15,E,90,4.36,S,4.07,-1.57,0.0727,26518.13,26513.08,0.325288929,0,0,0,0.301,0.297,0.32,0.301,0.102,0.119,0.102,0.137,19.88,1,13355,28681,19.49,65535,65535,6.39,62430,65535,28.04,6.45,1,21.81,1,19.9,1,1.67,1,-0.04,1,3.51,1,362.0011678,0.664,0.033,0.11,0.303,0.449,0.815,0.815,62.713,8769.153,2949.7,1625,1.973,1.05912,0.42788,0.41716,-3881004.949,-0.999,210,-2.290001,6.4543058,1,24.860001,55.426758,4.36,220,103,92,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31266225,-105.5848897,145,BRR5,21,Water,4,N,Water,./TP5_05192018,139_144_141_R500_WW_Fm'.bmp,Multiple,WW,19-May,Leaf,Fm',8720,48272,42998,99990,139,144,141,0.430023002,0.482768277,0.087208721,0.912791279,WW
836,568,837493,5/19/18 10:34,18,139,8043,5431,49,80,24.120001,56.330078,783.028931,24.120001,56.958984,784.242981,21.33,1.31,E,90,1.11,NE,-0.9,0.66,0.0115,26060.61,26075.68,0.173304688,0,0,0,1.091,1.699,1.203,NA,0.443,0.38,0.339,0.409,64.82,1,542.5,10787,125.58,3238.5,42899,120.94,7203,42907.5,104.66,47.53,1,75.99,1,204.65,1,-6.3,1,-10.35,1,-3.38,1,470.5982165,0.678,0.048,0.176,0.273,0.508,0.806,0.842,14.956,23087.507,7428.1,4485,2.108,1.02852,0.6805,0.67091,-5497655.714,-0.976,49,-2.790001,47.53052383,1,24.120001,56.330078,1.11,47,22,19,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31258009,-105.5849582,139,BRR5,21,Water,15,N,Water,./TP5_05192018,139_144_141_R500_WW_Fm'.bmp,Multiple,WW,19-May,Leaf,Fm',8720,48272,42998,99990,139,144,141,0.430023002,0.482768277,0.087208721,0.912791279,WW
713,553,837508,5/19/18 10:13,18,150,8430,4203,109,181,22.51,49.052734,782.805298,22.469999,49.475586,783.98468,20.15,0.75,E,90,4.7,SE,3.66,2.96,0.0152,24510.46,24519.31,0.231971336,0,0,0,1.199,NA,1.292,NA,0.453,0.386,0.391,0.417,74.57,1,367,10528.5,141.5,2145.5,41857,137.75,4752,41875.5,121.66,53.8,1,83.88,1,246.92,1,-6.75,1,-6.22,1,-3.68,1,496.8835817,0.716,0.01,0.037,0.274,0.536,0.825,0.868,35.121,25455.176,7228.8,4460,2.521,1.0607,0.16914,0.16395,-14216068.31,-0.997,109,-2.36,53.80070894,1,22.51,49.052734,4.7,106,49,43,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31258076,-105.5849308,150,BRR5,21,Water,2,N,Water,./TP5_05192018,139_144_141_R500_WW_Fm'.bmp,Multiple,WW,19-May,Leaf,Fm',8720,48272,42998,99990,139,144,141,0.430023002,0.482768277,0.087208721,0.912791279,WW
740,537,837524,5/19/18 10:19,18,141,13196,4558,114,207,23.16,55.083984,783.444824,23.01,54.902344,783.391663,20.61,0.22,E,90,5.88,SW,4.91,-3.24,0.0401,25418.22,25426.47,0.481817038,0,0,0,1.117,NA,1.29,NA,0.457,0.411,0.396,0.435,65.94,1,434.5,12662,132.75,2597.5,46095.5,131.3,5830,46099,115.74,56.22,1,83.27,1,204.3,1,-4.64,1,-6.09,1,-2.25,1,562.1133651,0.715,0.006,0.022,0.279,0.526,0.827,0.865,36.683,22341.585,6365.9,3869,2.51,1.05305,0.12501,0.1217,-11127943.26,-0.997,114,-2.55,56.21704745,1,23.16,55.083984,5.88,120,57,50,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31260626,-105.5849506,141,BRR5,21,Water,8,N,Water,./TP5_05192018,139_144_141_R500_WW_Fm'.bmp,Multiple,WW,19-May,Leaf,Fm',8720,48272,42998,99990,139,144,141,0.430023002,0.482768277,0.087208721,0.912791279,WW
763,539,837522,5/19/18 10:22,18,143,12621,4913,153,276,23.540001,57.447266,783.536804,23.41,57.191406,783.464355,21.76,0.23,E,90,7.21,SW,4.76,-5.42,0.0054,25636.41,25688.16,0.092442465,9.00E-04,5.44E-05,17.0009,1.084,NA,1.322,NA,0.426,0.373,0.35,0.395,65.84,1,455,13606.5,133.87,2735.5,49581,132.21,6141,49572,116.63,56.71,1,89.56,1,204.53,1,-5.33,1,-7.55,1,-3.07,1,529.4338668,0.666,0.012,0.037,0.322,0.423,0.825,0.807,45.839,19706.683,6586.2,3454,1.992,1.04939,0.23971,0.23494,-7392681.551,-0.99,153,-1.780001,56.70913884,1,23.540001,57.447266,7.21,159,75,67,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31263416,-105.584975,143,BRR5,21,Water,4,N,Water,./TP5_05192018,139_144_141_R500_WW_Fm'.bmp,Multiple,WW,19-May,Leaf,Fm',8720,48272,42998,99990,139,144,141,0.430023002,0.482768277,0.087208721,0.912791279,WW
772,541,837520,5/19/18 10:24,18,144,12628,4602,89,160,24,57.12793,783.595337,23.860001,56.881836,783.496094,21.15,0.25,E,90,3.51,S,3.4,0.88,0.0385,25535.58,25539.66,0.482435998,0,0,0,1.107,NA,1.244,NA,0.431,0.377,0.353,0.408,67.64,1,449,13460,133.98,2692.5,49033,132.42,6033,49073,116.97,56.76,1,81.33,1,199.3,1,-5.32,1,-7.75,1,-2.32,1,529.8317042,0.714,0.019,0.071,0.267,0.547,0.82,0.87,28.583,22552.087,6456.8,4058,2.493,1.04959,0.31774,0.30953,-10565844.63,-0.998,89,-2.85,56.75746924,1,24,57.12793,3.51,93,44,38,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31260105,-105.5849729,144,BRR5,21,Water,4,N,Water,./TP5_05192018,139_144_141_R500_WW_Fm'.bmp,Multiple,WW,19-May,Leaf,Fm',8720,48272,42998,99990,139,144,141,0.430023002,0.482768277,0.087208721,0.912791279,WW
